,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
91,2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600.0,186.26,-0.008714284322132948,188.03928571428574,186.64140000000015,-,,,,,100.0,100.0,100.0
92,2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800.0,188.1,0.009865472101065142,187.90071428571432,186.7758000000002,+,,,,,100.0,100.0,100.0
93,2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900.0,186.34,-0.009333548686517257,187.60857142857142,186.87200000000016,-,,,,,100.0,100.0,100.0
94,2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100.0,186.39,0.0002925814990555331,187.44285714285718,187.00880000000015,+,,,,,100.0,100.0,100.0
95,2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500.0,185.75,-0.003465008343869757,187.30428571428573,187.1152000000002,-,,,,,100.0,100.0,100.0
96,2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400.0,186.92,0.006317551926243503,187.14285714285717,187.2420000000002,+,,,,,100.0,100.0,100.0
97,2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600.0,186.67,-0.001362597450982772,187.0814285714286,187.3056000000002,-,,,,,100.0,100.0,100.0
98,2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800.0,189.09,0.012962174747072286,187.26714285714286,187.4222000000002,+,,,,,100.0,100.0,100.0
99,2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400.0,190.37,0.006783078745963289,187.54714285714286,187.57040000000026,+,,,,,100.0,100.0,100.0
100,2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700.0,190.42,0.00028678905190404613,187.7821428571429,187.69840000000028,+,,,,,100.0,100.0,100.0
101,2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200.0,191.24,0.004299400455798129,188.06428571428575,187.81960000000018,+,,,,,100.0,100.0,100.0
102,2016-05-31,2016,5,31,Tuesday,22,2016-22,210.56,210.69,209.18,209.84,109879400.0,190.88,-0.001902690926940065,188.15500000000003,187.91900000000018,-,,,,,100.0,100.0,100.0
103,2016-06-01,2016,6,1,Wednesday,22,2016-22,209.12,210.48,208.89,210.27,69936200.0,191.27,0.0020493298868735628,188.40000000000003,188.02080000000018,+,,,,,100.0,100.0,100.0
104,2016-06-02,2016,6,2,Thursday,22,2016-22,209.8,210.93,209.24,210.91,63044700.0,191.85,0.0030434561663732485,188.68214285714288,188.1362000000002,+,,,,,100.0,100.0,100.0
105,2016-06-03,2016,6,3,Friday,22,2016-22,210.25,210.69,208.86,210.28,101757100.0,191.28,-0.002986898922879177,189.0407142857144,188.26480000000018,-,,,,,100.0,100.0,100.0
106,2016-06-06,2016,6,6,Monday,23,2016-23,210.7,211.77,210.51,211.35,64887000.0,192.25,0.005088433134014414,189.3371428571429,188.4144000000002,+,,,,,100.0,100.0,100.0
